Date,Open,High,Low,Close,Volume
2013-12-24,511.34,513.68,481.02,493.67,899.99
2013-12-25,493.67,509.31,489.05,507.84,628.66
2013-12-26,507.84,588.67,504.3,569.24,3545.77
2013-12-27,569.24,589.35,551.09,565.92,2308.37
2013-12-28,565.92,572.6,528.3,547.63,1442.15
2013-12-29,547.63,567.17,535.96,556.17,809.76
2013-12-30,556.17,576.2,556.11,567.19,906.2
2013-12-31,567.19,568.43,553.82,566.94,687
2014-01-01,566.94,582.43,553,569.83,883.27
2014-01-02,569.83,612.57,563.75,599.98,1843.86
2014-01-03,599.98,624.78,594.31,616.11,2008.45
2014-01-04,616.11,653.03,604.44,647.58,1875.14
2014-01-05,647.58,731.68,632.97,706.9,3660.67
2014-01-06,706.9,764.24,665.34,703.84,3728.18
2014-01-07,703.84,727.93,622.38,631.44,3363.03
2014-01-08,631.44,675.45,598.6,645.15,1648.95
2014-01-09,645.15,671.96,626.95,661.81,1865.64
2014-01-10,661.81,665.48,633.93,657.02,945.32
2014-01-11,657.02,701.57,656.58,694.96,1630.67
2014-01-12,694.96,707.28,656.28,669.41,1362.22
2014-01-13,669.41,665.91,627.97,655.45,1618.27
2014-01-14,655.45,652.66,631.98,637.92,785.4
2014-01-15,637.92,671.92,642.84,662.14,1190.98
2014-01-16,662.14,664.28,645.66,646.1,879.47
2014-01-17,646.1,656.83,606.75,626.76,2270.22
2014-01-18,626.76,637.28,610.58,626.19,618.35
2014-01-19,626.19,686.8,627.36,650.8,791.83
2014-01-20,650.8,689.74,661.14,671.96,1350.26
2014-01-21,671.96,686.75,661.25,676.3,1260.16
2014-01-22,676.3,673.38,650.09,653.83,892.58
2014-01-23,653.83,661.53,648.13,650.27,772.05
2014-01-24,650.27,647.27,622.96,627.47,1332.77
2014-01-25,627.47,687.87,644.75,668.76,1155.73
2014-01-26,668.76,729.82,674.36,704.66,2657.38
2014-01-27,704.66,678.64,625.35,633.64,1882.48
2014-01-28,633.64,668.82,626.18,644.67,1995.29
2014-01-29,644.67,676.19,643.6,655.53,1315.78
2014-01-30,655.53,656.49,628.93,652.39,1285.71
2014-01-31,652.39,645.94,630.56,642.18,593.27
2014-02-01,642.18,655.65,639.18,650.38,635.03
2014-02-02,650.38,660.8,648.53,651.06,393.78
2014-02-03,651.06,669.83,649.69,651.09,935.47
2014-02-04,651.09,655.15,641.29,650.88,1170.44
2014-02-05,650.88,663.55,642.78,643.13,1117.2
2014-02-06,643.13,645.62,584.57,603.43,2968.21
2014-02-07,603.43,604.91,492.12,522.84,7584.81
2014-02-08,522.84,537.8,474.45,493.63,3536.86
2014-02-09,493.63,523.36,471.19,500.06,2762.71
2014-02-10,500.06,524.93,379.08,452.82,8591.61
2014-02-11,452.82,481.48,438.43,455.32,3167.2
2014-02-12,455.32,444.02,400.82,415.27,4120.08
2014-02-13,415.27,429.22,363.21,374.42,4162.12
2014-02-14,374.42,400.82,264.44,352.47,11590.46
2014-02-15,352.47,337.28,249,285.68,6657.36
2014-02-16,285.68,397.23,180.88,240.54,14114.5
2014-02-17,240.54,324.49,230.92,238.84,7788.13
2014-02-18,238.84,284.14,206.28,232.03,8194.93
2014-02-19,232.03,244.19,210.69,213.75,6244.45
2014-02-20,213.75,227.54,112.94,115.19,18161.93
2014-02-21,115.19,146.66,96.86,113,14656.76
2014-02-22,113,235.22,104.63,210.87,13367.58
2014-02-23,210.87,297.81,217.69,272.64,7077.87
2014-02-24,272.64,252.07,129,153.64,12045.62
2014-02-25,153.64,226.64,163.95,198.75,7703.41
2014-02-26,198.75,442.1,372.31,430.63,2328.62
2014-02-27,430.63,438.25,424.22,432.31,1049.95
2014-02-28,432.31,433.09,403.37,416.86,1671.7
2014-03-01,416.86,421.46,406.93,420.17,465.58
2014-03-02,420.17,422.35,412.52,412.89,351.17
2014-03-03,412.89,505.62,412.66,474.17,3302
2014-03-04,474.17,505.2,477.96,490.98,2134.22
2014-03-05,490.98,492.59,471.77,489.4,1146.68
2014-03-06,489.4,490.26,475.35,481.13,850.79
